METHOD	TECHNOLOGY	ALN_PARAMS	ALN_TYPE	SPANNING	COVERAGE	TP	FN	FP	TN	Recall	Precision	F1
Multi POA	PacBio HiFi	1_-1_-1_-1	local	partial	30	24034	1346	17	0	0.9469661150512214	0.9992931686832148	0.9724262102729057
Multi POA	PacBio HiFi	1_-1_-1_-1	local	partial	60	24026	1354	29	0	0.9466509062253743	0.9987944294325504	0.9720238697279255
Multi POA	PacBio HiFi	1_-1_-1_-1	local	spanning	20	23800	1580	10	0	0.9377462568951931	0.999580008399832	0.9676763569831266
Multi POA	PacBio HiFi	1_-1_-1_-1	local	spanning	30	24019	1361	17	0	0.946375098502758	0.9992927275753037	0.9721142949651934
Multi POA	PacBio HiFi	1_-1_-1_-1	local	spanning	60	24022	1358	28	0	0.9464933018124507	0.9988357588357588	0.9719603479668217
Multi POA	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	20	23929	1451	7	0	0.9428289992119779	0.9997075534759359	0.9704355584394517
Multi POA	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	30	24035	1345	13	0	0.9470055161544523	0.9994594145043247	0.9725256939386583
Multi POA	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	60	24033	1347	21	0	0.9469267139479906	0.9991269643302569	0.972326738681879
RapidFuzz	ONT	1_-1_-1_-1	global	spanning	20	22016	3364	3	0	0.8674546887312845	0.9998637540306099	0.9289647460916898
RapidFuzz	ONT	1_-1_-1_-1	global	spanning	30	22396	2984	8	0	0.8824271079590229	0.9996429209069809	0.9373848987108655
RapidFuzz	ONT	1_-1_-1_-1	global	spanning	60	22228	3152	6	0	0.8758077226162333	0.9997301430241972	0.933674969546772
RapidFuzz	ONT	1_-1_-1_-1	local	partial	20	22428	2952	21	0	0.8836879432624114	0.9990645463049579	0.9378410587718748
RapidFuzz	ONT	1_-1_-1_-1	local	partial	30	22466	2914	28	0	0.8851851851851852	0.9987552236151863	0.9385470192588878
RapidFuzz	ONT	1_-1_-1_-1	local	partial	60	22308	3072	54	0	0.8789598108747045	0.9975851891601825	0.9345230614553224
RapidFuzz	ONT	1_-1_-1_-1	local	spanning	20	22012	3368	7	0	0.867297084318361	0.9996820927380898	0.9287959661596236
RapidFuzz	ONT	1_-1_-1_-1	local	spanning	30	22384	2996	18	0	0.8819542947202522	0.9991965003124721	0.9369218534176049
RapidFuzz	ONT	1_-1_-1_-1	local	spanning	60	22195	3185	35	0	0.8745074862096138	0.99842555105713	0.9323671497584541
RapidFuzz	ONT	1_-1_-1_-1	semiglobal	partial	20	22424	2956	30	0	0.8835303388494878	0.9986639351563196	0.9375757829159175
RapidFuzz	ONT	1_-1_-1_-1	semiglobal	partial	30	22460	2920	37	0	0.8849487785657998	0.9983553362670579	0.9382375670990245
RapidFuzz	ONT	1_-1_-1_-1	semiglobal	partial	60	22321	3059	77	0	0.8794720252167061	0.9965621930529511	0.9343630959856001
RapidFuzz	PacBio HiFi	1_-1_-1_-1	global	spanning	20	23244	2136	2	0	0.915839243498818	0.9999139636926783	0.9560317525603587
RapidFuzz	PacBio HiFi	1_-1_-1_-1	global	spanning	30	23983	1397	2	0	0.944956658786446	0.9999166145507609	0.9716600830547959
RapidFuzz	PacBio HiFi	1_-1_-1_-1	global	spanning	60	24028	1352	3	0	0.9467297084318361	0.999875161250052	0.9725769565481371
RapidFuzz	PacBio HiFi	1_-1_-1_-1	local	partial	20	23713	1667	10	0	0.9343183609141056	0.999578468153269	0.9658473005722665
RapidFuzz	PacBio HiFi	1_-1_-1_-1	local	partial	30	23977	1403	9	0	0.9447202521670607	0.9996247811223213	0.9713973179921404
RapidFuzz	PacBio HiFi	1_-1_-1_-1	local	partial	60	24015	1365	19	0	0.9462174940898345	0.9992094532745277	0.9719917432306634
RapidFuzz	PacBio HiFi	1_-1_-1_-1	local	spanning	20	23242	2138	5	0	0.9157604412923562	0.9997849184841054	0.9559298332202274
RapidFuzz	PacBio HiFi	1_-1_-1_-1	local	spanning	30	23981	1399	4	0	0.9448778565799842	0.9998332291015218	0.9715790539856173
RapidFuzz	PacBio HiFi	1_-1_-1_-1	local	spanning	60	24010	1370	21	0	0.94602048857368	0.9991261287503641	0.9718483738438809
RapidFuzz	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	20	23706	1674	17	0	0.9340425531914893	0.9992833958605573	0.9655621856098404
RapidFuzz	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	30	23977	1403	13	0	0.9447202521670607	0.9994581075448103	0.971318614543245
RapidFuzz	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	60	24018	1362	18	0	0.9463356973995272	0.9992511233150274	0.9720738222438077
True phase	ONT	1_-1_-1_-1	global	spanning	20	23831	1549	13	0	0.9389676910953507	0.9994547894648549	0.9682675117828703
True phase	ONT	1_-1_-1_-1	global	spanning	30	24030	1350	9	0	0.9468085106382979	0.9996256083863722	0.9725004552904752
True phase	ONT	1_-1_-1_-1	global	spanning	60	24045	1335	7	0	0.9473995271867612	0.9997089639115251	0.9728515941090792
True phase	ONT	1_-1_-1_-1	local	partial	20	24001	1379	21	0	0.945665878644602	0.9991258013487636	0.971661066353589
True phase	ONT	1_-1_-1_-1	local	partial	30	24017	1363	34	0	0.9462962962962963	0.9985863373664297	0.9717383827962209
True phase	ONT	1_-1_-1_-1	local	partial	60	23991	1389	60	0	0.9452718676122931	0.9975053012348759	0.9706864113612914
True phase	ONT	1_-1_-1_-1	local	spanning	20	23822	1558	20	0	0.9386130811662726	0.9991611441993121	0.9679411645199302
True phase	ONT	1_-1_-1_-1	local	spanning	30	24004	1376	34	0	0.9457840819542948	0.9985855728429985	0.9714678861953134
True phase	ONT	1_-1_-1_-1	local	spanning	60	23990	1390	59	0	0.9452324665090622	0.9975466755374444	0.9706852252726133
True phase	ONT	1_-1_-1_-1	semiglobal	partial	20	23998	1382	25	0	0.9455476753349094	0.9989593306414686	0.9715199481812846
True phase	ONT	1_-1_-1_-1	semiglobal	partial	30	24012	1368	35	0	0.9460992907801419	0.998544516987566	0.9716147045137272
True phase	ONT	1_-1_-1_-1	semiglobal	partial	60	23990	1390	58	0	0.9452324665090622	0.9975881570192947	0.970704863640042
True phase	PacBio HiFi	1_-1_-1_-1	global	spanning	20	23812	1568	5	0	0.9382190701339638	0.9997900659193013	0.9680265056812407
True phase	PacBio HiFi	1_-1_-1_-1	global	spanning	30	24033	1347	2	0	0.9469267139479906	0.9999167880174745	0.9727005969847213
True phase	PacBio HiFi	1_-1_-1_-1	global	spanning	60	24046	1334	2	0	0.9474389282899921	0.9999168330006654	0.972970785789431
True phase	PacBio HiFi	1_-1_-1_-1	local	partial	20	23998	1382	13	0	0.9455476753349094	0.9994585814834868	0.9717559879330243
True phase	PacBio HiFi	1_-1_-1_-1	local	partial	30	24033	1347	16	0	0.9469267139479906	0.9993346916711714	0.9724250945801048
True phase	PacBio HiFi	1_-1_-1_-1	local	partial	60	24014	1366	34	0	0.9461780929866036	0.9985861610113107	0.9716759731326373
True phase	PacBio HiFi	1_-1_-1_-1	local	spanning	20	23805	1575	13	0	0.9379432624113475	0.9994541943068268	0.9677222651327291
True phase	PacBio HiFi	1_-1_-1_-1	local	spanning	30	24019	1361	15	0	0.946375098502758	0.9993758841641008	0.9721536406686364
True phase	PacBio HiFi	1_-1_-1_-1	local	spanning	60	24015	1365	32	0	0.9462174940898345	0.998669272674346	0.9717360956562202
True phase	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	20	23989	1391	14	0	0.9451930654058314	0.9994167395742198	0.9715489135937468
True phase	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	30	24033	1347	15	0	0.9469267139479906	0.99937624750499	0.9724447681476086
True phase	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	60	24019	1361	32	0	0.946375098502758	0.9986694939919338	0.9718193036758309
abPOA	ONT	1_-1_-1_-1	global	spanning	20	23358	2022	7	0	0.9203309692671395	0.999700406591055	0.958375217971074
abPOA	ONT	1_-1_-1_-1	global	spanning	30	23805	1575	6	0	0.9379432624113475	0.9997480156230314	0.9678599743855584
abPOA	ONT	1_-1_-1_-1	global	spanning	60	24010	1370	2	0	0.94602048857368	0.9999167083125104	0.9722222222222222
abPOA	ONT	1_-1_-1_-1	local	partial	20	18866	6514	55	0	0.7433412135539795	0.9970931768933988	0.8517189228234124
abPOA	ONT	1_-1_-1_-1	local	partial	30	19391	5989	41	0	0.764026792750197	0.9978900782214903	0.8654378291529055
abPOA	ONT	1_-1_-1_-1	local	partial	60	20445	4935	14	0	0.8055555555555556	0.9993157045798915	0.8920351665612252
abPOA	ONT	1_-1_-1_-1	local	spanning	20	23358	2022	7	0	0.9203309692671395	0.999700406591055	0.958375217971074
abPOA	ONT	1_-1_-1_-1	local	spanning	30	23805	1575	6	0	0.9379432624113475	0.9997480156230314	0.9678599743855584
abPOA	ONT	1_-1_-1_-1	local	spanning	60	24010	1370	2	0	0.94602048857368	0.9999167083125104	0.9722222222222222
abPOA	PacBio HiFi	1_-1_-1_-1	global	spanning	20	23354	2026	2	0	0.920173364854216	0.999914368898784	0.9583880499015102
abPOA	PacBio HiFi	1_-1_-1_-1	global	spanning	30	23786	1594	1	0	0.9371946414499606	0.999957960230378	0.967559541969207
abPOA	PacBio HiFi	1_-1_-1_-1	global	spanning	60	24016	1364	1	0	0.9462568951930654	0.9999583628263313	0.9723667429196106
abPOA	PacBio HiFi	1_-1_-1_-1	local	partial	20	18930	6450	26	0	0.7458628841607565	0.9986284026165858	0.8539335979790689
abPOA	PacBio HiFi	1_-1_-1_-1	local	partial	30	19416	5964	15	0	0.7650118203309693	0.9992280376717616	0.8665729396799892
abPOA	PacBio HiFi	1_-1_-1_-1	local	partial	60	20596	4784	4	0	0.81150512214342	0.9998058252427184	0.8958677685950412
abPOA	PacBio HiFi	1_-1_-1_-1	local	spanning	20	23354	2026	2	0	0.920173364854216	0.999914368898784	0.9583880499015102
abPOA	PacBio HiFi	1_-1_-1_-1	local	spanning	30	23786	1594	1	0	0.9371946414499606	0.999957960230378	0.967559541969207
abPOA	PacBio HiFi	1_-1_-1_-1	local	spanning	60	24016	1364	1	0	0.9462568951930654	0.9999583628263313	0.9723667429196106
k-mer clust	ONT	1_-1_-1_-1	global	spanning	20	21668	3712	301	0	0.8537431048069346	0.9862988756884701	0.9152463621195802
k-mer clust	ONT	1_-1_-1_-1	global	spanning	30	22575	2805	303	0	0.8894799054373522	0.9867558353002885	0.9355961705831156
k-mer clust	ONT	1_-1_-1_-1	global	spanning	60	23202	2178	142	0	0.9141843971631206	0.9939170664838931	0.9523848616698136
k-mer clust	ONT	1_-1_-1_-1	local	partial	20	20387	4993	1412	0	0.8032702915681639	0.9352263865314923	0.8642404459611268
k-mer clust	ONT	1_-1_-1_-1	local	partial	30	21056	4324	1349	0	0.8296296296296296	0.9397902253961169	0.8812807366328346
k-mer clust	ONT	1_-1_-1_-1	local	partial	60	21144	4236	1222	0	0.833096926713948	0.9453634981668604	0.8856867591002388
k-mer clust	ONT	1_-1_-1_-1	local	spanning	20	21585	3795	365	0	0.8504728132387707	0.983371298405467	0.9121064863722798
k-mer clust	ONT	1_-1_-1_-1	local	spanning	30	22447	2933	409	0	0.8844365642237982	0.9821053552677634	0.9307156480636868
