METHOD	TECHNOLOGY	ALN_PARAMS	ALN_TYPE	SPANNING	COVERAGE	TP	FN	FP	TN	Recall	Precision	F1
Multi POA	PacBio HiFi	1_-1_-1_-1	local	partial	30	27344	1346	28	0	0.9530846985012199	0.9989770568464124	0.9754914202133351
Multi POA	PacBio HiFi	1_-1_-1_-1	local	partial	60	27336	1354	49	0	0.9528058556988498	0.9982106992879314	0.9749799375835935
Multi POA	PacBio HiFi	1_-1_-1_-1	local	spanning	20	27108	1582	14	0	0.9448588358313001	0.9994838138780326	0.9714039991399699
Multi POA	PacBio HiFi	1_-1_-1_-1	local	spanning	30	27328	1362	24	0	0.9525270128964796	0.999122550453349	0.9752685485885586
Multi POA	PacBio HiFi	1_-1_-1_-1	local	spanning	60	27332	1358	41	0	0.9526664342976647	0.998502173674789	0.9750459304710771
Multi POA	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	20	27239	1451	13	0	0.9494248867201115	0.9995229707911346	0.9738300382539059
Multi POA	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	30	27345	1345	23	0	0.9531195538515163	0.9991596024554223	0.9755967034143208
Multi POA	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	60	27343	1347	35	0	0.9530498431509237	0.9987216012857039	0.9753513590639938
RapidFuzz	ONT	1_-1_-1_-1	global	spanning	20	25298	3392	4	0	0.8817706517950505	0.9998419097304561	0.9371017928582013
RapidFuzz	ONT	1_-1_-1_-1	global	spanning	30	25700	2990	9	0	0.8957825026141513	0.9996499280407639	0.9448703101159946
RapidFuzz	ONT	1_-1_-1_-1	global	spanning	60	25537	3153	14	0	0.8901010805158592	0.9994520762396775	0.9416124333990892
RapidFuzz	ONT	1_-1_-1_-1	local	partial	20	25727	2963	32	0	0.8967235970721505	0.998757715749835	0.9449943984278867
RapidFuzz	ONT	1_-1_-1_-1	local	partial	30	25773	2917	44	0	0.898326943185779	0.9982956966340009	0.9456767020749629
RapidFuzz	ONT	1_-1_-1_-1	local	partial	60	25617	3073	77	0	0.8928895085395608	0.997003191406554	0.9420785525154456
RapidFuzz	ONT	1_-1_-1_-1	local	spanning	20	25294	3396	8	0	0.8816312303938655	0.9996838194609122	0.9369536227589272
RapidFuzz	ONT	1_-1_-1_-1	local	spanning	30	25688	3002	18	0	0.895364238410596	0.999299774371742	0.9444812118538127
RapidFuzz	ONT	1_-1_-1_-1	local	spanning	60	25504	3186	42	0	0.8889508539560823	0.9983559069913098	0.9404823364554908
RapidFuzz	ONT	1_-1_-1_-1	semiglobal	partial	20	25723	2967	75	0	0.8965841756709655	0.9970927978913094	0.944171193657319
RapidFuzz	ONT	1_-1_-1_-1	semiglobal	partial	30	25767	2923	101	0	0.8981178110840013	0.9960955620844286	0.9445727482678983
RapidFuzz	ONT	1_-1_-1_-1	semiglobal	partial	60	25630	3060	170	0	0.8933426280934124	0.9934108527131783	0.9407230684529272
RapidFuzz	PacBio HiFi	1_-1_-1_-1	global	spanning	20	26432	2258	5	0	0.9212966190310212	0.9998108711275864	0.958949335171513
RapidFuzz	PacBio HiFi	1_-1_-1_-1	global	spanning	30	27263	1427	8	0	0.9502614151272221	0.9997066480877123	0.9743571415807438
RapidFuzz	PacBio HiFi	1_-1_-1_-1	global	spanning	60	27332	1358	10	0	0.9526664342976647	0.9996342623070734	0.9755853797829813
RapidFuzz	PacBio HiFi	1_-1_-1_-1	local	partial	20	26955	1735	26	0	0.9395259672359707	0.9990363589192395	0.968367731853209
RapidFuzz	PacBio HiFi	1_-1_-1_-1	local	partial	30	27259	1431	26	0	0.9501219937260369	0.9990470954737035	0.973970522554712
RapidFuzz	PacBio HiFi	1_-1_-1_-1	local	partial	60	27308	1382	48	0	0.9518299058905542	0.9982453575084077	0.9744852442636406
RapidFuzz	PacBio HiFi	1_-1_-1_-1	local	spanning	20	26430	2260	6	0	0.9212269083304288	0.9997730367680435	0.9588941697202772
RapidFuzz	PacBio HiFi	1_-1_-1_-1	local	spanning	30	27261	1429	6	0	0.9501917044266295	0.9997799537902959	0.9743553085404864
RapidFuzz	PacBio HiFi	1_-1_-1_-1	local	spanning	60	27314	1376	24	0	0.9520390379923318	0.9991221011046895	0.9750124937531234
RapidFuzz	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	20	26947	1743	77	0	0.9392471244336006	0.9971506808762581	0.9673331658111067
RapidFuzz	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	30	27259	1431	110	0	0.9501219937260369	0.9959808542511601	0.9725111043721792
RapidFuzz	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	60	27311	1379	102	0	0.951934471941443	0.9962791376354284	0.9736021246635652
True phase	ONT	1_-1_-1_-1	global	spanning	20	27138	1552	27	0	0.94590449634018825	0.9990060739922695	0.9717303732879777
True phase	ONT	1_-1_-1_-1	global	spanning	30	27339	1351	22	0	0.9529104217497386	0.9991959358210591	0.9755044513032775
True phase	ONT	1_-1_-1_-1	global	spanning	60	27355	1335	18	0	0.953468107354479	0.999342417710883	0.9758664359738152
True phase	ONT	1_-1_-1_-1	local	partial	20	27311	1379	39	0	0.951934471941443	0.9985740402193785	0.9746966452533905
True phase	ONT	1_-1_-1_-1	local	partial	30	27327	1363	38	0	0.9524921575461833	0.9986113648821487	0.9750066898581751
True phase	ONT	1_-1_-1_-1	local	partial	60	27301	1389	75	0	0.9515859184384803	0.997260374050263	0.9738879178111511
True phase	ONT	1_-1_-1_-1	local	spanning	20	27129	1561	28	0	0.9455907981875218	0.9989689582796333	0.9715472630579978
True phase	ONT	1_-1_-1_-1	local	spanning	30	27313	1377	38	0	0.9520041826420356	0.99861065408943	0.9747506290037651
True phase	ONT	1_-1_-1_-1	local	spanning	60	27300	1390	72	0	0.951551063088184	0.9973695747479175	0.9739217295137527
True phase	ONT	1_-1_-1_-1	semiglobal	partial	20	27308	1382	77	0	0.9518299058905542	0.9971882417381779	0.9739812750780206
True phase	ONT	1_-1_-1_-1	semiglobal	partial	30	27322	1368	55	0	0.952317880794702	0.9979910143551156	0.9746196514883979
True phase	ONT	1_-1_-1_-1	semiglobal	partial	60	27300	1390	78	0	0.951551063088184	0.9971509971509972	0.9738175073125491
True phase	PacBio HiFi	1_-1_-1_-1	global	spanning	20	27119	1571	13	0	0.9452422446845591	0.9995208609759694	0.9716240908602344
True phase	PacBio HiFi	1_-1_-1_-1	global	spanning	30	27342	1348	7	0	0.9530149878006274	0.9997440491425647	0.975820410785346
True phase	PacBio HiFi	1_-1_-1_-1	global	spanning	60	27355	1335	6	0	0.953468107354479	0.9997807097693798	0.9760753599400547
True phase	PacBio HiFi	1_-1_-1_-1	local	partial	20	27308	1382	22	0	0.9518299058905542	0.9991950237833882	0.9749375223134594
True phase	PacBio HiFi	1_-1_-1_-1	local	partial	30	27343	1347	21	0	0.9530498431509237	0.9992325683379623	0.9755949620009277
True phase	PacBio HiFi	1_-1_-1_-1	local	partial	60	27324	1366	39	0	0.9523875914952945	0.9985747176844644	0.9749344370506485
True phase	PacBio HiFi	1_-1_-1_-1	local	spanning	20	27112	1578	15	0	0.9449982572324852	0.9994470453791425	0.971460307791533
True phase	PacBio HiFi	1_-1_-1_-1	local	spanning	30	27328	1362	17	0	0.9525270128964796	0.999378314134211	0.9753903810118676
True phase	PacBio HiFi	1_-1_-1_-1	local	spanning	60	27324	1366	37	0	0.9523875914952945	0.9986477102445086	0.9749692244562987
True phase	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	20	27299	1391	31	0	0.9515162077378878	0.998865715331138	0.9746162084969654
True phase	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	30	27343	1347	28	0	0.9530498431509237	0.998977019473165	0.9754731453238437
True phase	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	60	27329	1361	41	0	0.9525618682467759	0.998502009499452	0.9749910809846593
abPOA	ONT	1_-1_-1_-1	global	spanning	20	26665	2025	17	0	0.9294179156500523	0.9993628663518477	0.9631221556021095
abPOA	ONT	1_-1_-1_-1	global	spanning	30	27114	1576	6	0	0.9450679679330777	0.9997787610619469	0.9716538254793048
abPOA	ONT	1_-1_-1_-1	global	spanning	60	27320	1370	3	0	0.9522481700941094	0.9998902023935878	0.9754878331815828
abPOA	ONT	1_-1_-1_-1	local	partial	20	22176	6514	82	0	0.7729522481700941	0.9963159313505257	0.8705346627934365
abPOA	ONT	1_-1_-1_-1	local	partial	30	22701	5989	63	0	0.7912513070756361	0.9972324723247232	0.8823803785905858
abPOA	ONT	1_-1_-1_-1	local	partial	60	23755	4935	53	0	0.8279888462879051	0.9977738575268817	0.9049868566421577
abPOA	ONT	1_-1_-1_-1	local	spanning	20	26665	2025	17	0	0.9294179156500523	0.9993628663518477	0.9631221556021095
abPOA	ONT	1_-1_-1_-1	local	spanning	30	27114	1576	6	0	0.9450679679330777	0.9997787610619469	0.9716538254793048
abPOA	ONT	1_-1_-1_-1	local	spanning	60	27320	1370	3	0	0.9522481700941094	0.9998902023935878	0.9754878331815828
abPOA	PacBio HiFi	1_-1_-1_-1	global	spanning	20	26660	2030	3	0	0.929243638898571	0.9998874845291228	0.9632720900402869
abPOA	PacBio HiFi	1_-1_-1_-1	global	spanning	30	27095	1595	1	0	0.9444057162774486	0.9999630941836434	0.9713906714946403
abPOA	PacBio HiFi	1_-1_-1_-1	global	spanning	60	27326	1364	2	0	0.9524573021958871	0.9999268149882904	0.9756149808989968
abPOA	PacBio HiFi	1_-1_-1_-1	local	partial	20	22240	6450	30	0	0.7751829905890554	0.998652896273013	0.8728414442700158
abPOA	PacBio HiFi	1_-1_-1_-1	local	partial	30	22726	5964	21	0	0.7921226908330429	0.99907680133644	0.8836440694441744
abPOA	PacBio HiFi	1_-1_-1_-1	local	partial	60	23906	4784	11	0	0.833252004182642	0.9995400760965004	0.9088524340867185
abPOA	PacBio HiFi	1_-1_-1_-1	local	spanning	20	26660	2030	3	0	0.929243638898571	0.9998874845291228	0.9632720900402869
abPOA	PacBio HiFi	1_-1_-1_-1	local	spanning	30	27095	1595	1	0	0.9444057162774486	0.9999630941836434	0.9713906714946403
abPOA	PacBio HiFi	1_-1_-1_-1	local	spanning	60	27326	1364	2	0	0.9524573021958871	0.9999268149882904	0.9756149808989968
k-mer clust	ONT	1_-1_-1_-1	global	spanning	20	24976	3714	615	0	0.8705472289996514	0.9759681137900043	0.9202483373556124
k-mer clust	ONT	1_-1_-1_-1	global	spanning	30	25884	2806	628	0	0.902195887068665	0.9763126131563066	0.9377921089815586
k-mer clust	ONT	1_-1_-1_-1	global	spanning	60	26512	2178	281	0	0.9240850470547229	0.9895121860187363	0.9556801182344142
k-mer clust	ONT	1_-1_-1_-1	local	partial	20	23697	4993	2403	0	0.8259672359707215	0.9079310344827586	0.865011863478737
k-mer clust	ONT	1_-1_-1_-1	local	partial	30	24366	4324	2370	0	0.8492854653189265	0.9113554757630161	0.8792263558618699
k-mer clust	ONT	1_-1_-1_-1	local	partial	60	24454	4236	1876	0	0.8523527361449983	0.9287504747436385	0.8889131225009088
k-mer clust	ONT	1_-1_-1_-1	local	spanning	20	24893	3797	647	0	0.867654234925061	0.9746671887235708	0.918052738336714
k-mer clust	ONT	1_-1_-1_-1	local	spanning	30	25756	2934	698	0	0.8977344022307424	0.9736145762455584	0.9341360800812419
k-mer clust	ONT	1_-1_-1_-1	local	spanning	60	26251	2439	508	0	0.9149878006273963	0.981015733024403	0.9468520622554059
k-mer clust	ONT	1_-1_-1_-1	semiglobal	partial	20	23635	5055	2746	0	0.8238062042523527	0.8959099351806225	0.8583464981569247
k-mer clust	ONT	1_-1_-1_-1	semiglobal	partial	30	24314	4376	3036	0	0.8474729871035204	0.8889945155393053	0.8677373304782299
k-mer clust	ONT	1_-1_-1_-1	semiglobal	partial	60	24551	4139	2809	0	0.8557337051237365	0.8973318713450292	0.8760392506690454
k-mer clust	PacBio HiFi	1_-1_-1_-1	global	spanning	20	26868	1822	16	0	0.9364935517601952	0.9994048504686802	0.9669269802425595
k-mer clust	PacBio HiFi	1_-1_-1_-1	global	spanning	30	27173	1517	26	0	0.9471244336005576	0.9990440825030332	0.97239170498667
k-mer clust	PacBio HiFi	1_-1_-1_-1	global	spanning	60	27252	1438	39	0	0.949878006273963	0.9985709574585028	0.9736160483021025
k-mer clust	PacBio HiFi	1_-1_-1_-1	local	partial	20	22678	6012	1014	0	0.7904496340188218	0.9572007428667905	0.8658699553281662
k-mer clust	PacBio HiFi	1_-1_-1_-1	local	partial	30	23208	5482	1576	0	0.8089229696758452	0.9364105874757909	0.8680106219845158
k-mer clust	PacBio HiFi	1_-1_-1_-1	local	partial	60	24141	4549	2199	0	0.8414430115022656	0.9165148063781321	0.8773759767399599
k-mer clust	PacBio HiFi	1_-1_-1_-1	local	spanning	20	26866	1824	14	0	0.9364238410596026	0.9994791666666667	0.9669245996041029
k-mer clust	PacBio HiFi	1_-1_-1_-1	local	spanning	30	27169	1521	25	0	0.9469850121993726	0.999080679561668	0.9723355522153031
k-mer clust	PacBio HiFi	1_-1_-1_-1	local	spanning	60	27247	1443	34	0	0.9497037295224817	0.9987537113742165	0.9736113344410499
k-mer clust	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	20	22628	6062	1206	0	0.7887068665040083	0.9494000167827473	0.8616251618307821
k-mer clust	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	30	23183	5507	1795	0	0.8080515859184385	0.9281367603491072	0.863941268539912
k-mer clust	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	60	24028	4662	2930	0	0.837504356918787	0.8913124118999926	0.8635710178263369
